x,T_fe,T_1d,dT
0.05137500000000001,81.797,81.78382587017349,0.013174129826509784
0.05175000000000001,81.762,81.74876026173877,0.013239738261233924
0.05212500000000001,81.7282,81.7150247049704,0.013175295029597578
0.05250000000000001,81.6958,81.68261840918979,0.013181590810219745
0.05287500000000001,81.6647,81.65154061487286,0.01315938512713899
0.053250000000000006,81.635,81.62179059363241,0.013209406367593601
0.053625000000000006,81.6066,81.59336764820092,0.013232351799075559
0.054000000000000006,81.5795,81.56627111241434,0.013228887585654547
0.05437500000000001,81.5537,81.54050035119636,0.013199648803649211
0.05475000000000001,81.5292,81.51605476054357,0.013145239456434865
0.05512500000000001,81.5061,81.49293376751135,0.01316623248865767
0.0555,81.4843,81.47113683020032,0.01316316979968235
0.055875,81.4638,81.4506634377438,0.013136562256207185
0.056249999999999994,81.4447,81.43151311029573,0.013186889704272176
0.056624999999999995,81.4268,81.41368539901941,0.013114600980586033
0.056999999999999995,81.4103,81.39717988607703,0.013120113922980181
0.057374999999999995,81.3952,81.38199618461991,0.013203815380094852
0.057749999999999996,81.3813,81.36813393877932,0.013166061220672987
0.058124999999999996,81.3688,81.35559282365824,0.013207176341751392
0.058499999999999996,81.3575,81.34437254532374,0.013127454676265415
0.058875,81.3476,81.33447284080002,0.013127159199981975
0.05925,81.3391,81.32589347806227,0.013206521937732418
0.059625,81.3318,81.31863425603132,0.013165743968684751
0.06,81.3258,81.31269500456881,0.013104995431191924
