x_m,fe_mode1_uz,theory_mode1,fe_mode2_uy,theory_mode2,fe_mode3_uz,theory_mode3,fe_mode4_uz,theory_mode4
0.1975,0.2853394285235923,0.2859854019487318,0.28556659343382895,0.2859854019487318,1.6837795270576426,1.6859771119901925,1.743727968514226,1.7409511253549592
0.19875,0.2887828952875662,0.2894307495616104,0.2890147805429776,0.2894307495616104,1.694478834712011,1.6966174799529643,1.7271605787141464,1.7242470829514671
0.2,0.292248692609184,0.2928932188134524,0.29247553516456654,0.2928932188134524,1.704988050978558,1.7071067811865475,1.710029245679262,1.7071067811865477
0.20125,0.29572644083465266,0.2963727262737571,0.29595758094646485,0.2963727262737571,1.7153856368085683,1.7174427410072397,1.6925911320370977,1.689540544737067
0.2025,0.29922628661694595,0.29986918810147645,0.299451934220114,0.29986918810147645,1.725582443097406,1.727623117984575,1.6746156578462943,1.6715589548470184
0.20375,0.3027383952833121,0.3033825200470357,0.30296795295431783,0.3033825200470357,1.7356687198128535,1.7376457044273925,1.6563492254446626,1.653172842953777
0.205,0.3062720125193425,0.30691263745436403,0.30649745621342966,0.30691263745436403,1.7455470644982138,1.7475083268625966,1.6375731790157062,1.6343932841636457
0.20625,0.3098173013361739,0.31045945526293295,0.3100469042623762,0.31045945526293295,1.7553091984071758,1.7572088465064843,1.6185220722488118,1.6152315905806272
0.2075,0.31338419229357506,0.31402288800980716,0.3136084784363292,0.31402288800980716,1.76486384146372,1.7667451597285613,1.5989913092626873,1.595699304492434
0.20875,0.3169628507187943,0.31760284983170295,0.3171913558000185,0.31760284983170295,1.774298259443279,1.7761151985077277,1.5792029509558718,1.575808191417846
0.21,0.32056287805215283,0.3211992544670581,0.3207863750195033,0.3211992544670581,1.7835135765222223,1.7853169308807448,1.5589632043723325,1.555570233019603
0.21125,0.32417459503198226,0.32481201525810954,0.32440214731377787,0.32481201525810954,1.7926097152806322,1.7943483613828812,1.5384836063448604,1.5349976198870974
0.2125,0.3278073089524403,0.32844104515298156,0.32802991757339517,0.32844104515298156,1.8014851257755133,1.8032075314806444,1.5175849498830691,1.5141027441932224
0.21375,0.3314513011779627,0.3320862567077839,0.3316783830740189,0.3320862567077839,1.810237270813338,1.8118925199965046,1.4964639398354844,1.4928981922297841
0.215,0.33511660950428157,0.33574756208871814,0.3353380650899058,0.33574756208871814,1.8187576061202289,1.8204014435255136,1.4749573241240557,1.471396736825998
0.21625,0.33879308125653324,0.339424873074195,0.33901843957077765,0.339424873074195,1.827153479379686,1.8287324568437378,1.453246292868168,1.449611329654607
0.2175,0.3424901752025689,0.3431181010569586,0.34271050526660574,0.3431181010569586,1.8353194990733475,1.8368837533084093,1.4311828425348327,1.4275550934302825
0.21875,0.3461986741449693,0.34682715704622313,0.3464224847533607,0.34682715704622313,1.8433548157203732,1.8448535652497071,1.4089339828916232,1.4052413140049904
0.22,0.3499272868946743,0.35055195166981623,0.3501462387357198,0.35055195166981623,1.851154603841676,1.852640164354092,1.3863672873595403,1.3826834323650903
0.22125,0.3536672671197373,0.3542923951763326,0.353890238706257,0.3542923951763326,1.8588211354965305,1.8602418620391044,1.3636340919579568,1.3598950365349887
0.2225,0.35742719416046403,0.3580483974372969,0.3576448490940086,0.3580483974372969,1.8662496226643288,1.8676570098195442,1.3406184890769461,1.33688985339222
0.22375,0.36119815955710133,0.36181986794933474,0.36142002193640027,0.36181986794933474,1.87354060390907,1.874883999664958,1.3174558632804825,1.3136817403988923
0.225,0.3649891153122989,0.3656067158363545,0.3652055868156408,0.3656067158363545,1.8805910704880122,1.881921264348355,1.2940471301380871,1.2902846772544625
0.22625,0.3687906788582748,0.36940884985173605,0.3690109387141552,0.36940884985173605,1.8875046596139733,1.8887672777860676,1.2705116075271325,1.2667127574748984
0.2275,0.37261253964758795,0.3732261783805305,0.37282755663365136,0.3732261783805305,1.8941678034145186,1.8954205553686967,1.246766044936712,1.242980179903264
0.22875,0.3764448250232578,0.3770586094416659,0.3766634928874417,0.3770586094416659,1.9006929064681333,1.9018796542830616,1.2229145416592486,1.2191012401568702
0.23,0.38029636238113435,0.38090605069016603,0.3805101131230189,0.38090605069016603,1.9069665236829607,1.9081431738250814,1.1988891308744147,1.1950903220161286
0.23125,0.384158580255691,0.38476840941937307,0.3843759489800913,0.38476840941937307,1.9130993011698891,1.9142097557035305,1.174778579786949,1.1709618887603017
0.2325,0.3880401770353659,0.38864559256318354,0.3882520278941868,0.38864559256318354,1.918976930210963,1.9200780843345948,1.1505314779957376,1.1467304744553624
0.23375,0.3919321407302205,0.392537506698289,0.3921475792117753,0.392537506698289,1.9247115053116828,1.925746887127164,1.1262207034749698,1.122410675199216
0.235,0.3958430768526209,0.39644405804642846,0.3960536548899086,0.39644405804642846,1.9301874108692993,1.9312149347588035,1.1018112875876982,1.0980171403295613
